No.;Category;Brand;Product Name;Size;Wholesale Price (€);Suggested Selling Price (€);Profit per Unit (€);Margin %;Stock Available;Has Image;Source ID;EAN;Your Decision (KEEP/REMOVE/CHANGE PRICE);Your Custom Price (€)

--- PERFUMES (20 products) ---
103;Men's Care;Creed;Creed Neroli Sauvage - Eau de parfum spray - 100 ml;100 ml;170.03;249.95;79.92;32.0%;6;Yes;DST846774;3508441001046;;
104;Men's Care;Chanel;Chanel Bleu De Eau De Parfum Spray 150 ml for Men;150 ml;166.04;244.95;78.91;32.2%;9;Yes;DST230637;3145891073706;;
105;Men's Care;Acqua di Parma;Acqua di Parma Sandalo - 180 ml - eau de parfum spray - unisexparfum;180 ml;158.58;229.95;71.37;31.0%;27;Yes;DST191240;8028713810923;;
106;Men's Care;Dior;Dior Fahrenheit 200 ml Eau de Toilette - Herenparfum;200 ml;128.37;209.95;81.58;38.9%;29;Yes;DST361577;3348900147324;;
107;Men's Care;YSL;YSL Y For Men Giftset;1 pcs;109.71;179.95;70.24;39.0%;7;Yes;DST415704;3660732613670;;
108;Men's Care;Givenchy;Givenchy Gentleman Boisee Edp Sp 100ml Ts 12,5ml;100 ml;104.63;169.95;65.32;38.4%;5;Yes;DST723906;3274872442184;;
109;Men's Care;Dolce & Gabbana;Dolce and Gabbana Dolce and Gabbana Dolce and Gabbana Dolce and Gabbana Dolce and Gabbana Dolce and Gabbana Light Blu...;125 ml;102.26;164.95;62.69;38.0%;6;Yes;DST709209;8057971187058;;
110;Men's Care;Yves Saint Laurent;Yves Saint Laurent La Nuit de L'Homme 200 ml Eau de Toilette - Herenparfum;200 ml;93.38;149.95;56.57;37.7%;53;Yes;DST861733;3365440328624;;
111;Men's Care;Carolina Herrera;Carolina Herrera Bad Boy Superstars - 100 ml - eau de toilette spray - herenparfum;100 ml;92.78;149.95;57.17;38.1%;9;Yes;DST133813;8411061001646;;
112;Men's Care;Versace;Versace Eros Flame Mannen 200 ml - Eau de parfum - Damesparfum;200 ml;85.76;139.95;54.19;38.7%;20;Yes;DST78736;8011003846627;;
113;Men's Care;Jo Malone;Jo Malone Nectarine Blossom  Honey Cologne Spray  Unisex Unboxed  100 ml for Men;100 ml;84.91;139.95;55.04;39.3%;15;Yes;DST373357;690251009015;;
114;Men's Care;Jean Paul Gaultier;Jean Paul Gaultier Le Beau Male Eau de Parfum Spray 125 ml;125 ml;83.24;134.95;51.71;38.3%;15;Yes;DST65184;8435415062190;;
115;Men's Care;Giorgio Armani;Giorgio Armani Code Homme EDT 100 ml + EDT 15 ml (man);100 ml;81.34;134.95;53.61;39.7%;68;Yes;DST1301358;3660732641727;;
116;Men's Care;Guerlain;Guerlain L'homme Ideal Le Parfum 100ml Sp;100 ml;80.76;129.95;49.19;37.9%;59;Yes;DST1295840;3346470305229;;
117;Men's Care;Hermès;Hermès Hermes Terre Edt Spray 100ml Sets;100 ml;79.15;154.95;75.80;48.9%;19;Yes;DST1244605;3346130433736;;
118;Men's Care;Armani;Armani (Giorgio Armani) Armani Eau Pour Homme (2013) EDT M 100 ml;100 ml;75.81;144.95;69.14;47.7%;18;Yes;DST194944;3605521544353;;
119;Men's Care;Burberry;Burberry Hero Parfum 100 ml (man);100 ml;74.27;144.95;70.68;48.8%;16;Yes;DST1289065;3616304679445;;
120;Men's Care;Prada;Prada L'Homme 100 ml - Eau de Toilette - Herenparfum;100 ml;74.25;144.95;70.70;48.8%;158;Yes;DST257496;8435137749607;;


=== SUMMARY ===

Category;Products;Avg Wholesale;Avg Selling Price;Avg Margin %
Perfumes;20;€150.76;€232.95;36.1%
Makeup;20;€35.33;€73.70;53.1%
Skincare;20;€115.03;€186.70;42.5%
Haircare;20;€40.86;€82.20;53.0%
Body Care;20;€47.86;€92.45;50.2%
Men's Care;20;€112.35;€180.20;38.8%

PRICING STRATEGY:
Under €30 wholesale → ~2.3x markup (standard retail for affordable luxury)
€30-€80 wholesale → ~1.9x markup
€80-€150 wholesale → ~1.6x markup
Over €150 wholesale → ~1.45x markup (high-ticket items, competitive pricing)
All prices rounded to €X.95 for luxury psychological pricing
