No.;Category;Brand;Product Name;Size;Wholesale Price (€);Suggested Selling Price (€);Profit per Unit (€);Margin %;Stock Available;Source ID;EAN;Variant Group;Your Decision (KEEP/REMOVE);Your Custom Price (€)

--- PERFUMES ---
35;Perfumes;Acqua di Parma;Acqua di Parma - Camelia - Eau de parfum - 100ml;100 ml;87.06;139.95;52.89;37.8%;4;DST173724;8028713810213;Acqua di Parma - acqua di parma yuzu - - eau de parfum spray - unis;;
36;Perfumes;Acqua di Parma;Acqua Di Parma Blu Mediterraneo Mirto Di Panarea Eau De Toilette Spray 100ml forte_forte Special Edition;100 ml;97.83;159.95;62.12;38.8%;72;DST306611;8028713570759;Acqua di Parma - acqua di parma yuzu - - eau de parfum spray - unis;;
37;Perfumes;Acqua di Parma;Acqua Di Parma - Signatures Of The Sun Yuzu Eau de Parfum - 100 ml - Unisex;100 ml;107.60;174.95;67.35;38.5%;3;DST254438;8028713810114;Acqua di Parma - acqua di parma yuzu - - eau de parfum spray - unis;;
38;Perfumes;Acqua di Parma;Acqua di Parma Quercia Eau de Parfum 100ml;100 ml;110.06;179.95;69.89;38.8%;6;DST92902;8028713810817;Acqua di Parma - acqua di parma yuzu - - eau de parfum spray - unis;;
39;Perfumes;Acqua di Parma;Acqua di Parma Osmanthus Eau de Parfum 100ml;100 ml;116.14;189.95;73.81;38.9%;26;DST130677;8028713810015;Acqua di Parma - acqua di parma yuzu - - eau de parfum spray - unis;;
40;Perfumes;Acqua di Parma;Acqua di Parma Peonia Nobile - 100 ml - eau de parfum spray - damesparfum;100 ml;117.95;189.95;72.00;37.9%;8;DST17423;8028713400025;Acqua di Parma - acqua di parma yuzu - - eau de parfum spray - unis;;
41;Perfumes;Acqua di Parma;Acqua Di Parma Zafferano Signatures of the Sun Eau de Parfum 100ml;100 ml;121.21;194.95;73.74;37.8%;6;DST724360;8028713813375;Acqua di Parma - acqua di parma yuzu - - eau de parfum spray - unis;;
42;Perfumes;Acqua di Parma;Acqua di Parma Sandalo Eau de Parfum 100ml;100 ml;122.08;199.95;77.87;38.9%;45;DST352592;8028713810916;Acqua di Parma - acqua di parma yuzu - - eau de parfum spray - unis;;
43;Perfumes;Acqua di Parma;Acqua Di Parma Blu Mediterraneo Mirto Di Panarea Eau De Toilette Spray 100ml Limited Edition;100 ml;122.34;199.95;77.61;38.8%;4;DST1288976;8028713822216;Acqua di Parma - acqua di parma yuzu - - eau de parfum spray - unis;;
44;Perfumes;Acqua di Parma;Acqua di Parma Blu Mediterraneo Mandorlo di Sicilia 150 ml - Eau de Toilette - Unisex;150 ml;67.71;129.95;62.24;47.9%;65;DST17409;8028713570049;Acqua di Parma - acqua di parma yuzu - - eau de parfum spray - unis;;
45;Perfumes;Acqua di Parma;Acqua di Parma Blu Mediterraneo Arancia di Capri 150 ml - Eau de toilette - Unisex;150 ml;67.72;129.95;62.23;47.9%;303;DST63623;8028713570025;Acqua di Parma - acqua di parma yuzu - - eau de parfum spray - unis;;
46;Perfumes;Acqua di Parma;Acqua Di Parma Blu Mediterraneo Mirto Di Panarea 150 ml - Eau de Toilette - Unisex;150 ml;67.76;129.95;62.19;47.9%;24;DST317046;8028713570087;Acqua di Parma - acqua di parma yuzu - - eau de parfum spray - unis;;
47;Perfumes;Acqua di Parma;Acqua Di Parma Blu Mediterraneo Fico Di Amalfi Eau De Toilette Spray 180ml;180 ml;74.56;144.95;70.39;48.6%;43;DST1283554;8028713816659;Acqua di Parma - acqua di parma yuzu - - eau de parfum spray - unis;;
48;Perfumes;Acqua di Parma;Acqua Di Parma - Colonia Pura - Eau De Cologne - 180ML;180 ml;77.91;149.95;72.04;48.0%;26;DST355153;8028713270031;Acqua di Parma - acqua di parma yuzu - - eau de parfum spray - unis;;
49;Perfumes;Acqua di Parma;Acqua di Parma Colonia Intensa 180ml - Eau de Cologne - Herenparfum;180 ml;80.13;129.95;49.82;38.3%;29;DST17411;8028713210112;Acqua di Parma - acqua di parma yuzu - - eau de parfum spray - unis;;
50;Perfumes;Acqua di Parma;Acqua Di Parma Blu Mediterraneo Bergamotto Di Calabria Eau De Toilette Spray 180ml;180 ml;80.34;129.95;49.61;38.2%;120;DST1285114;8028713816635;Acqua di Parma - acqua di parma yuzu - - eau de parfum spray - unis;;
