No.;Category;Brand;Product Name;Size;Wholesale Price (€);Suggested Selling Price (€);Profit per Unit (€);Margin %;Stock Available;Source ID;EAN;Your Decision (KEEP/REMOVE);Your Custom Price (€)

--- PERFUMES (40 products) ---
86;Skincare;Chanel;Chanel Le Lift Reno Serum 30 Ml;30 ml;97.85;159.95;62.10;38.8%;17;DST167020;3145891419603;;
87;Skincare;Chanel;Chanel N1 De Chanel Serum Revitalizante Camelia 30ml;30 ml;86.60;139.95;53.35;38.1%;5;DST1196606;3145891408805;;
88;Skincare;Clarins;Clarins Anti-Veroudering Serum Restorative Clarins;50 ml;96.42;154.95;58.53;37.8%;76;DST844433;3380810013269;;
89;Skincare;Clarins;Clarins Double Serum 75ml;;92.47;149.95;57.48;38.3%;5;DST1335113;3666057202506;;
90;Skincare;Clarins;Clarins Double Serum Light Texture 75ml;;88.46;144.95;56.49;39.0%;150;DST1355490;3666057317675;;
91;Skincare;Clinique;Clinique Smart Clinical Repair™ Wrinkle Correcting Serum 100ml;100 ml;95.59;154.95;59.36;38.3%;35;DST319460;192333101698;;
92;Skincare;Clinique;Clinique Smart Clinical Repair Wrinkle Correcting Serum;1 pcs;59.65;114.95;55.30;48.1%;182;DST57979;192333101681;;
93;Skincare;Clinique;Clinique Cl Dramatically Different Moisturizing Bb Gel Anti Fatiga 125ml;125 ml;59.53;114.95;55.42;48.2%;18;DST305713;20714816407;;
94;Skincare;Dior;Dior Prestige Le Micro-Huile De Rose Advanced Serum;;289.17;419.95;130.78;31.1%;7;DST1368296;3348901609265;;
95;Skincare;Dior;Christian Dior, Prestige Light-In-White, Illuminating, Serum, For Face, 30 ml;;254.71;369.95;115.24;31.2%;105;DST1358208;3348901531054;;
96;Skincare;Dior;Christian Dior, Prestige La Micro-Huile De Rose, Repairing, Serum, For Face, 75 ml;;235.26;344.95;109.69;31.8%;20;DST1358192;3348901512503;;
97;Skincare;Elizabeth Arden;Elizabeth Arden Prevage Anti-Aging Moisture Cream Spf30 50ml;50 ml;111.14;179.95;68.81;38.2%;12;DST713289;85805259433;;
98;Skincare;Elizabeth Arden;Elizabeth Arden Prevage Anti-Aging Overnight Cream 50ml;50 ml;99.11;159.95;60.84;38.0%;5;DST713290;85805259471;;
99;Skincare;Elizabeth Arden;Back In Stock  Elizabeth Arden 30ml Prevage Anti aging Intensive Repair Serum;30 ml;79.55;154.95;75.40;48.7%;58;DST119236;85805144715;;
100;Skincare;Estée Lauder;Estee Lauder, Re-Nutriv - Ultimate Radiant White Brightening Youth, White Tuberose Extract, Hydrates/Nourishes/Strengthe...;;138.35;224.95;86.60;38.5%;17;DST1326686;887167294165;;
101;Skincare;Estée Lauder;Estée Lauder Perfectionist Pro Sérum De Tratamiento Iluminador Rápido 50ml;50 ml;94.49;154.95;60.46;39.0%;21;DST1295821;887167558496;;
102;Skincare;Estée Lauder;Estée Lauder Advanced Night Repair Ii Serum Lote 2 Piezas;1 pcs;79.30;154.95;75.65;48.8%;9;DST328477;887167640856;;
103;Skincare;Filorga;Filorga GLOBAL-REPAIR Multi-Revitaliserende Voedende Balsem 50 ml;50 ml;72.39;139.95;67.56;48.3%;5;DST318719;3540550011431;;
104;Skincare;Filorga;Filorga NCEF-Revitalize Polyrevitalizing Anti-Aging Serum 30ml;30 ml;64.97;124.95;59.98;48.0%;5;DST1300158;3540550015378;;
105;Skincare;Filorga;Filorga Serum Skin Unify Intensive Sérum Uniformisant;30 ml;52.29;99.95;47.66;47.7%;8;DST229310;3540550000077;;
106;Skincare;Guerlain;Guerlain Orchidee Imperiale Serum Facial 30ml;30 ml;322.54;469.95;147.41;31.4%;6;DST708309;3346470619685;;
107;Skincare;Guerlain;Guerlain Orchidée Impériale Mascarilla 75ml;75 ml;185.35;269.95;84.60;31.3%;20;DST1296579;3346470620117;;
108;Skincare;Guerlain;Guerlain Orchidee Imperiale Serum De Ojos 15ml;15 ml;119.32;194.95;75.63;38.8%;11;DST709826;3346470619739;;
109;Skincare;Kérastase;Kerastase Premiere Repair Serum 90 ml;;48.40;94.95;46.55;49.0%;58;DST1361891;3474637196677;;
110;Skincare;Lancôme;Lancome Serum Skin Care Absolue The Revitalizing Oleo Serum Anti Aging;1 pcs;126.87;204.95;78.08;38.1%;6;DST379334;3614272048553;;
111;Skincare;Lancôme;Lancome W. Advanced Genifique Youth Activating Concentrate 100 Ml;100 ml;94.49;154.95;60.46;39.0%;89;DST115126;3614272623507;;
112;Skincare;Lancôme;Lancome Skin Care Renergie Redefining Night Cream Creme RimpelsStevigheidLifting 50ml;50 ml;78.72;149.95;71.23;47.5%;12;DST7988;3605532670270;;
113;Skincare;Nuxe;Nuxe Nuxuriance Gold Nutri-Revitalizing Serum 30ml;30 ml;56.35;109.95;53.60;48.7%;33;DST164115;3264680015939;;
114;Skincare;Nuxe;Nuxe Super Serum [10] 50 Ml;50 ml;52.49;99.95;47.46;47.5%;19;DST749403;3264680035104;;
115;Skincare;Origins;Origins, Plantscription Multi-Powered, Anti-Ageing, Serum, For Face, 50 ml;;54.63;104.95;50.32;47.9%;12;DST1329150;717334250444;;
116;Skincare;Payot;Payot Suprême Youth Night Cream 50ml;50 ml;53.58;104.95;51.37;48.9%;135;DST1183500;3390150586019;;
117;Skincare;Sebastian;TWISTED moisturizing and detangling conditioner for curls and waves 1000 ml;;46.67;89.95;43.28;48.1%;34;DST4068359105223;4068359105223;;
118;Skincare;Shiseido;Shiseido - FUTURE Solution LX Ultimate Serum - Face Serum;1 pcs;344.64;499.95;155.31;31.1%;8;DST24172;729238159501;;
119;Skincare;Shiseido;Shiseido Shi Lx Fut Solut Legendar Enmei Ser30;1 pcs;186.66;274.95;88.29;32.1%;17;DST1244573;729238212459;;
120;Skincare;Shiseido;Shiseido FSLX Intensive Shine Firming Serum 50 ml;;126.82;204.95;78.13;38.1%;227;DST1357589;729238212626;;

--- HAIRCARE (40 products) ---

121;Haircare;Balmain;Balmain Hair Couture Homme Hair Perfume 100 ml;100 ml;100.62;164.95;64.33;39.0%;5;DST852032;8720246245080;;
122;Haircare;Carolina Herrera;Moroccanoil Color Complete Chromatech - Haarmasker - 1000 ml;1000 ml;78.16;149.95;71.79;47.9%;5;DST22884;7290017279091;;
123;Haircare;Kérastase;Kérastase Première Concentré - Calciumverwijderende Herstellende Pre-shampoo - Voor Beschadigd Haar - 250ml;;52.86;104.95;52.09;49.6%;68;DST1357936;3474637196684;;
